행정동명,미세먼지지수,공원수,도시농업(프로그램수),거주_유동_인구당_매출액,채소가게수,제로웨이스트 가게수,승하차인원_버스_지하철,카페수,유치원_초등학교,인구수,총_10대,총_20_30대,총_60대이상,1인세대
남가좌1동,13.844,4,0.0,8.672739999786069,6.0,0.0,193231.0,17.0,5.979788315493632e-05,33446,0.108891945225139,0.2289062967170962,0.1958978652155713,0.2234854636998538
남가좌2동,13.844,4,0.0,31.07806320145219,3.0,1.0,359485.0,67.0,6.833401667350006e-05,58536,0.081590815908159,0.281570315703157,0.2391348913489135,0.4142803738317757
남영동,75.71,3,0.0,61.8995341666095,1.0,0.0,579478.0,55.0,0.0,13926,0.0324572741634353,0.2652592273445354,0.34051414620135,0.7670756646216769
남현동,16.457,5,0.0,21.34585557039399,2.0,1.0,238741.0,33.0,8.417508417508418e-05,35640,0.0419753086419753,0.4200897867564534,0.239057239057239,0.5760847628657921
내곡동,50.458,14,1.0,3.7272522010977935,2.0,0.0,184435.0,38.0,8.650020183380428e-05,34682,0.085289199008131,0.2324548757280433,0.2809526555561963,0.3109722222222222
노량진1동,34.701,4,0.0,47.27468433964462,2.0,0.0,846060.0,80.0,0.00015625,64000,0.05771875,0.3549375,0.26503125,0.5364340169020744
노량진2동,15.774,0,0.0,6.127918764625733,3.0,0.0,276751.0,31.0,4.7824007651841225e-05,20910,0.0370157819225251,0.3742706838833094,0.3077953132472501,0.693411420204978
녹번동,13.483,10,3.0,8.12652906665867,1.0,8.0,406070.0,49.0,9.636033258080502e-05,72644,0.0590000550630471,0.2840977919718077,0.2862727823357744,0.4361490894650252
논현1동,12.345,2,0.0,230.3889153306227,4.0,0.0,573781.0,122.0,9.406895254221344e-05,21261,0.0386153050185786,0.435915526080617,0.197027421099666,0.6903102765348786
논현2동,12.345,6,0.0,168.91706990309353,7.0,2.0,463201.0,121.0,0.0001451940760816,20662,0.0591907850159713,0.3609040751137353,0.2132900977640112,0.5726435152374203
능동,14.731,2,0.0,83.29501047283955,1.0,0.0,253379.0,38.0,0.0001342642320085,22344,0.0455603293949158,0.4238274257071249,0.2159863945578231,0.6008975549365522
다산동,14.146,3,0.0,253.32335358347623,0.0,0.0,105541.0,33.0,0.000111915242856,26806,0.0512571812280832,0.3253749160635678,0.2962769529209878,0.4875403107593081
답십리1동,14.146,4,0.0,46.5170638047514,2.0,0.0,260722.0,42.0,5.354656766501267e-05,56026,0.0695391425409631,0.3081069503444829,0.2242887230928497,0.4200340610001548
답십리2동,14.146,4,0.0,30.669459774083737,5.0,0.0,258731.0,42.0,9.044208089139716e-05,55284,0.0634903407857608,0.270457998697634,0.3010997757036394,0.3785662910573004
당산1동,50.32,1,2.0,91.8732018589798,8.0,2.0,278653.0,68.0,4.780343228643817e-05,41838,0.0439791577035231,0.4033653616329652,0.2363401692241503,0.5568975929600553
당산2동,67.093,7,0.0,134.9008570941744,2.0,0.0,559980.0,73.0,6.799020940984498e-05,73540,0.0638564046777264,0.4072069621974435,0.1936905085667664,0.5376576766770464
대림1동,15.774,2,0.0,86.82567317194591,3.0,0.0,240085.0,27.0,0.0001071964553705,27986,0.0558136210962624,0.2674194239977131,0.3205174015579218,0.4673366834170854
대림2동,15.774,1,0.0,15.928623809399935,5.0,0.0,135118.0,17.0,0.0001672520488375,23916,0.0433182806489379,0.3122595751797959,0.3287339019902994,0.5856100700901159
대림3동,15.774,5,0.0,47.91167110334469,3.0,0.0,222108.0,40.0,0.00013777900248,43548,0.0576834757049692,0.2734453935886837,0.3193717277486911,0.4230064603220518
대방동,15.774,3,2.0,52.70444894908648,0.0,1.0,534581.0,39.0,6.985972167886883e-05,71572,0.1014363158777175,0.3081093164924831,0.2254233499133739,0.4541259663210882
대조동,13.483,4,0.0,96.45825330992818,9.0,1.0,556451.0,73.0,3.664614482556435e-05,54576,0.0542729404866608,0.3581061272354148,0.2686895338610378,0.5573823970770536
대치1동,16.56,8,0.0,68.9375696289807,3.0,0.0,371196.0,27.0,0.0001261352169525,23784,0.2237218298015472,0.1514463504877228,0.1641860073999327,0.078523212563714
대치2동,16.56,3,0.0,210.21125585121928,3.0,1.0,619306.0,87.0,8.102414519526819e-05,37026,0.1706098417328364,0.1983471074380165,0.2118241235888294,0.2009115361625822
대치4동,16.56,2,0.0,178.39129100641026,2.0,0.0,419553.0,124.0,0.0001060332944544,18862,0.1202947725585834,0.3259993638002332,0.1577245255010073,0.5582002611228282
대학동,14.245,7,0.0,66.62559515598662,0.0,0.0,481675.0,80.0,4.0716612377850165e-05,49120,0.0392100977198697,0.4748778501628664,0.1898208469055374,0.7793400612314322
대흥동,49.545,2,0.0,21.20599220414889,2.0,1.0,476399.0,68.0,0.0001385617292503,28868,0.0589580157960371,0.4275322156020507,0.1975197450464181,0.6537891737891738
도곡1동,13.996,4,1.0,1.287592834320279,2.0,1.0,403512.0,40.0,0.0001446898813542,20734,0.1160895148065978,0.2571621491270377,0.2167454422687373,0.3230360806081815
