유치원명,주소,행정동,위도,경도
서울세곡초등학교병설유치원,서울특별시 구로구 고척로33길 34,고척2동,37.504731,126.8481821
서울개봉초등학교병설유치원,서울특별시 구로구 개봉로16길 30-11,개봉3동,37.4886751,126.8574848
서울영서초등학교병설유치원,서울특별시 구로구 도림로20길 57,구로3동,37.4887813,126.8930896
나비유치원,서울특별시 구로구 고척로 30,오류1동,37.5024227,126.8487988
준희유치원,서울특별시 구로구 경인로19길 8,오류1동,37.4974198,126.8423908
새두산유치원,서울특별시 구로구 도림로 59,구로4동,37.4880042,126.8894406
세희유치원,서울특별시 구로구 도림로 107,구로4동,37.4880042,126.8894406
서울매봉초등학교병설유치원,서울특별시 구로구 고척로21길 55,개봉1동,37.5018073,126.8453314
서울고척초등학교병설유치원,서울특별시 구로구 경서로 31,고척1동,37.50323,126.86007
서울남유치원,서울특별시 구로구 구로동로17길 37-4,구로2동,37.48806,126.8813549
목원유치원,서울특별시 구로구 개봉로20길 6,개봉2동,37.492519,126.8603534
서울미래초등학교병설유치원,서울특별시 구로구 새말로 73,구로5동,37.5070735,126.8930094
개봉샛별유치원,서울특별시 구로구 개봉로18길 11,개봉2동,37.4910184,126.8574331
서울천왕초등학교병설유치원,서울특별시 구로구 천왕로1길 11,오류2동,37.4819141,126.8373532
사랑유치원,서울특별시 구로구 신도림로11가길 36,신도림동,37.5078863,126.8788311
서울구로남초등학교병설유치원,서울특별시 구로구 디지털로27길 76,구로3동,37.48409,126.89027
혜원유치원,서울특별시 구로구 고척로 62-11,오류1동,37.5024227,126.8487988
동부유치원,서울특별시 구로구 고척로 49,오류1동,37.5024227,126.8487988
예쁨유치원,서울특별시 구로구 부일로1길 125,수궁동,37.4959862,126.8172158
서울구일초등학교병설유치원,서울특별시 구로구 구일로 68,구로1동,37.4977475,126.8738227
서울하늘숲유치원,서울특별시 구로구 오리로 1102-19,오류2동,37.5049323,126.8282734
동정성모유치원,서울특별시 구로구 경인로2길 11,오류2동,37.4899132,126.8274029983916
바니유치원,서울특별시 구로구 구일로4길 46,구로1동,37.4918755,126.8760577
푸른동산유치원,서울특별시 구로구 서해안로 2201,오류2동,37.4787899,126.821303
꿀벌유치원,서울특별시 구로구 디지털로27다길 15,구로3동,37.4864376,126.8896261
일신유치원,서울특별시 구로구 오류로8길 22,오류2동,37.4929813,126.8451297
버들유치원,서울특별시 구로구 오류로8길 40,오류2동,37.4929813,126.8451297
동아유치원,서울특별시 구로구 신도림로 87,신도림동,37.5088666,126.8816162
신도유치원,서울특별시 구로구 구일로2길 45,구로1동,37.4889978,126.8777465
서울신미림초등학교병설유치원,서울특별시 구로구 신도림로 26,신도림동,37.5088666,126.8816162
서울고산초등학교병설유치원,서울특별시 구로구 중앙로 6,고척1동,37.5054869,126.8608235
서울항동유치원,서울특별시 구로구 연동로8길 15,항동,37.4766383,126.8246639
서울오류남초등학교병설유치원,서울특별시 구로구 서해안로24길 22,오류2동,37.4896409,126.8392488
서울정심초등학교병설유치원,서울특별시 금천구 독산로78다길 89,독산4동,37.47137015,126.9084636504609
서울백산초등학교병설유치원,서울특별시 금천구 시흥대로38길 78,시흥5동,37.44702175,126.9050096785992
참사랑유치원,서울특별시 금천구 벚꽃로 73,독산1동,37.4844953,126.8823999
조형유치원,서울특별시 금천구 독산로1길 3,시흥1동,37.4497628,126.9033999
백상유치원,서울특별시 금천구 탑골로3길 50,시흥5동,37.4534692,126.9137543625697
서울탑동유치원,서울특별시 금천구 탑골로 47-3,시흥2동,37.4509455,126.9111344
