행정동명,2023년09월_전체세대,2023년09월_1인세대,2023년09월_2인세대,2023년09월_3인세대,2023년09월_4인세대,2023년09월_5인세대,2023년9월_6인가구이상,채소가게수,제로웨이스트 가게수,유치원수,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율,도시농업(프로그램수),도시농업(시설수),초등학교수,사업체수 (개),종사자수 (명),채식식당수,인구수,1_0대,1_10대,1_20대,1_30대,1_40대,1_50대,1_60대,1_70대,1_80대,1_90대,1_기타,2_0대,2_10대,2_20대,2_30대,2_40대,2_50대,2_60대,2_70대,2_80대,2_90대,2_기타,카페수,승하차인원_버스_지하철,1점포당_1년_매출액,행정동별_1년_매출액
도봉1동,10243,4687,2787,1591,895,207,76,7.0,0.0,3.0,6763,82.0,15.233,15,8.4451,11,103.17,0.0,0.0,2.0,2147,6178,1.0,40494.0,626,1100,2326,2298,2816,3524,3892,2510,1072,90,6,660,996,2108,1960,2296,3524,4094,2912,1486,186,12,27.0,168930.0,22168736.58,3347479224.0
도봉2동,11728,4236,3293,2293,1443,349,114,8.0,0.0,2.0,8456,89.0,15.233,15,1.1182,7,9.81,0.0,0.0,1.0,2035,7780,1.0,51994.0,1464,1480,2826,3360,3570,4074,4610,2800,1140,98,2,1346,1400,2692,3268,3250,4370,5182,3146,1644,260,12,25.0,272768.0,25396853.63,609524487.0
도화동,9313,3706,2103,1786,1351,286,81,4.0,0.0,3.0,5641,74.0,37.855,45,0.6246,2,0.58,0.0,0.0,1.0,3142,17730,1.0,41368.0,1380,1552,2466,3460,2800,3094,2794,1324,686,86,0,1276,1384,2782,3592,2972,3516,3114,1692,1180,210,8,44.0,241950.0,50252537.52,8241416153.0
독산1동,25110,13909,4959,3209,2374,511,148,3.0,1.0,4.0,10075,94.0,14.245,8,2.0604,8,2.13,2.0,2.0,4.0,5608,24752,2.0,92664.0,3072,2398,7634,11038,7386,6512,5596,2490,1040,56,2,2966,2338,8832,9154,5920,6264,5494,2922,1342,200,8,69.0,695982.0,30200127.84,7882233365.0
독산2동,9396,4600,2397,1335,845,168,51,8.0,0.0,2.0,5101,69.0,14.245,8,0.6167,6,0.97,0.0,0.0,2.0,1531,4184,0.0,36116.0,744,1130,2460,2798,2336,3422,3214,1528,506,58,0,680,950,2498,2278,2144,3462,3362,1708,744,86,8,28.0,226494.0,13738979.24,1030423443.0
독산3동,12953,6798,3093,1777,1004,229,52,10.0,0.0,2.0,6823,82.0,14.245,8,0.9343,7,3.44,0.0,0.0,2.0,2677,6887,1.0,47800.0,820,1120,3634,4204,3084,4160,4124,1974,732,68,2,794,1120,3908,3292,2668,4402,4362,2146,1014,168,4,35.0,435023.0,17039669.41,2232196693.0
독산4동,7614,3750,1829,1152,673,168,42,2.0,0.0,1.0,4302,62.0,14.245,8,0.5906,5,6.03,0.0,0.0,1.0,1385,3457,0.0,29586.0,578,754,2054,2212,1854,2964,2688,1296,424,32,0,488,868,1980,1908,1718,2932,2680,1484,580,88,4,22.0,169603.0,21908615.21,1226882452.0
돈암1동,6058,1905,1634,1284,969,206,60,0.0,0.0,2.0,4006,59.0,13.848,5,0.4885,2,61.27,0.0,0.0,2.0,688,2087,0.0,28716.0,716,1078,1690,1840,1780,2486,2132,1142,472,44,0,682,1140,2012,1920,1974,2716,2506,1434,838,110,4,9.0,259383.0,32749330.78,4970192553.0
돈암2동,8548,1780,2054,2139,1973,452,150,1.0,0.0,6.0,6614,81.0,13.848,5,0.5179,0,0.0,0.0,0.0,1.0,909,2893,0.0,46960.0,1714,2594,2714,2652,3598,4132,2774,1320,632,70,2,1660,2674,2730,2886,4284,4470,3122,1698,1004,226,4,14.0,195027.0,32749330.78,4970192553.0
동선동,9669,6684,1509,790,526,128,32,2.0,2.0,3.0,2976,48.0,112.874,61,0.7244,0,0.0,0.0,0.0,3.0,2682,10483,6.0,30036.0,406,720,2806,2326,1730,1856,1316,838,404,38,0,458,1138,6374,2490,1848,1898,1576,1032,674,104,4,113.0,511138.0,46408984.23,24643170626.0
동화동,3977,1116,1052,855,703,182,69,0.0,0.0,0.0,2822,46.0,14.146,7,0.3268,2,1.71,0.0,0.0,1.0,1337,4391,1.0,20030.0,644,796,1120,1288,1356,1772,1570,738,308,48,0,544,780,1218,1310,1426,1942,1590,868,618,92,2,27.0,33617.0,28495411.46,1738220099.0
둔촌1동,39,27,5,3,4,0,0,0.0,0.0,0.0,14,1.0,17.327,28,0.9115,0,0.0,0.0,0.0,2.0,36,286,0.0,61.0,0,3,4,6,5,7,5,2,1,0,0,1,2,3,5,5,4,5,3,0,0,0,0.0,52391.0,35036700.63,7549241097.0
둔촌2동,10443,3510,2687,2115,1750,303,78,1.0,0.0,2.0,7035,84.0,17.327,28,1.5492,3,42.63,1.0,1.0,2.0,2063,9942,1.0,24058.0,765,1030,1561,1811,1758,1871,1816,912,283,27,0,719,854,1580,1746,1776,2030,2065,950,414,88,2,43.0,236912.0,25918151.7,3680377542.0
등촌1동,14241,8453,2660,1741,1118,212,57,1.0,0.0,1.0,4481,64.0,15.34,15,0.6503,4,0.6,0.0,0.0,1.0,2720,17753,2.0,49658.0,1302,1274,3840,6052,3454,2918,2270,1104,550,92,12,1256,1028,5796,7102,3332,3170,2656,1294,914,236,6,72.0,310052.0,20935737.36,2721645857.0
등촌2동,8549,3081,2181,1678,1234,279,96,3.0,0.0,2.0,4983,68.0,15.34,15,0.0,0,0.0,0.0,0.0,2.0,1211,3972,0.0,39020.0,1072,1550,2752,3340,2754,2800,2752,1490,400,32,0,978,1216,2836,3300,2864,3360,3180,1522,672,148,2,31.0,245654.0,11401205.44,182419287.0
등촌3동,15119,7112,3916,2224,1513,271,83,2.0,2.0,5.0,8708,90.0,15.34,15,1.0596,9,2.21,0.0,0.0,5.0,3261,20336,1.0,59138.0,1524,1718,3388,4648,3542,4154,5190,2654,978,162,2,1402,1634,3404,4476,3706,4970,6000,3036,2086,452,12,70.0,392391.0,22234938.5,5069565977.0
마장동,10893,5355,2335,1631,1200,262,110,4.0,0.0,4.0,5432,72.0,14.146,6,1.0345,4,0.31,1.0,1.0,2.0,4030,12518,0.0,43728.0,1030,1462,4180,3306,2784,3350,3118,1600,680,66,0,1000,1496,4124,3052,2618,3570,3220,1820,1110,140,2,14.0,211856.0,48557460.31,2379315555.0
마천1동,8629,3636,2213,1442,1004,267,67,4.0,0.0,1.0,5677,74.0,17.603,30,0.5748,11,9.99,0.0,0.0,1.0,1419,3006,0.0,36618.0,742,1484,2196,2216,2594,3578,3436,1804,670,48,0,698,1322,1974,1764,2344,3228,3282,2002,1064,170,2,21.0,93878.0,23318234.21,1095957008.0
마천2동,8554,3655,2270,1388,950,206,85,5.0,2.0,2.0,5513,73.0,17.603,30,0.89,7,23.53,0.0,0.0,1.0,1796,4727,0.0,35608.0,620,1148,2320,2270,2548,3332,3574,1680,656,44,0,598,1092,1868,1750,2214,3208,3548,1984,980,166,8,20.0,168798.0,90735703.24,4173842349.0
망우3동,8191,3988,2015,1273,712,164,39,2.0,0.0,1.0,4492,64.0,15.673,17,0.9618,4,0.36,2.0,1.0,2.0,1507,4272,0.0,31672.0,600,834,2102,2094,2112,3060,3054,1418,552,60,0,576,972,2074,1810,1876,3046,2880,1612,768,170,2,18.0,125784.0,8006757.769,208175702.0
망우본동,17759,8483,4056,2760,1933,417,110,18.0,0.0,5.0,7963,87.0,15.673,17,2.9458,6,7.39,0.0,0.0,3.0,4406,12914,2.0,71204.0,2484,2018,4176,5934,5242,5586,5934,2694,992,82,2,2376,2156,4916,5706,4602,5530,5824,3026,1634,276,14,84.0,515662.0,23744475.57,3158015251.0
망원1동,10163,5206,2431,1332,918,220,56,5.0,0.0,0.0,4849,67.0,13.844,4,1.1002,3,0.44,0.0,0.0,0.0,2837,6549,7.0,38606.0,830,1090,2824,3450,2914,2824,2204,1220,574,44,0,844,1104,3414,3780,3124,2900,2650,1788,904,124,0,98.0,130552.0,17804808.81,8688746698.0
망원2동,8376,3399,2137,1399,1142,236,63,2.0,1.0,1.0,4863,67.0,13.844,5,0.6759,2,0.24,0.0,0.0,2.0,2043,4844,1.0,36208.0,946,1398,2362,2624,2878,2766,2054,1230,570,46,0,816,1454,2900,3060,2996,2994,2524,1658,818,106,8,54.0,167964.0,27102350.78,7832579375.0
면목2동,12235,5947,2998,1817,1156,259,58,3.0,0.0,4.0,6279,79.0,14.243,8,0.7625,3,0.41,0.0,0.0,2.0,2477,5975,1.0,47542.0,1030,1384,2912,3564,3518,4570,3992,1892,754,66,2,996,1368,3060,3174,3060,4438,4208,2272,1112,168,2,36.0,168077.0,21575895.71,4725121161.0
면목3.8동,12830,6283,3232,1828,1181,242,64,3.0,0.0,1.0,6366,79.0,14.243,7,1.6129,5,213.04,0.0,0.0,1.0,2776,7878,1.0,49210.0,972,1308,3454,3784,3434,4390,4066,2074,826,44,0,944,1248,3440,3284,3042,4494,4608,2442,1180,172,4,44.0,280490.0,49501707.21,11979413145.0
면목4동,8941,3956,2285,1443,980,212,65,2.0,0.0,2.0,5061,69.0,14.243,7,0.8428,3,606.41,0.0,0.0,1.0,2568,4971,1.0,36690.0,898,1212,2326,2580,2888,3246,2912,1530,618,50,2,868,1084,2186,2354,2562,3166,3088,2142,872,100,6,15.0,154726.0,216713402.3,1300280414.0
면목5동,6421,2188,1708,1381,932,171,41,2.0,0.0,0.0,3680,55.0,14.243,8,0.7044,3,0.44,0.0,0.0,0.0,1161,3336,0.0,29272.0,1338,870,1598,2484,2548,2398,2060,958,348,20,0,1356,808,1530,2496,2248,2348,2130,1106,552,72,4,15.0,132127.0,31437778.51,3365938152.0
면목7동,10591,4802,2667,1703,1136,220,63,8.0,0.0,1.0,5707,74.0,14.243,7,1.2352,1,0.11,0.0,0.0,1.0,1957,4800,0.0,42812.0,1140,1160,2710,3366,3098,3692,3576,1890,666,58,0,970,1032,2934,3148,2712,3624,3790,2134,948,160,4,29.0,223926.0,18351210.79,1669960182.0
면목본동,17798,9297,4184,2496,1449,300,72,10.0,0.0,3.0,8223,89.0,14.243,7,0.8484,5,0.59,0.0,0.0,2.0,3481,7511,1.0,65864.0,1308,1624,4654,5608,4812,5906,5110,2436,1012,56,4,1192,1708,5088,4952,4196,5938,5416,3180,1438,224,2,44.0,409715.0,21874251.13,2712407140.0
명동,1425,994,219,117,69,17,9,3.0,31.0,0.0,763,7.0,272.502,95,0.969,8,0.9,0.0,0.0,1.0,8849,110506,8.0,5382.0,74,124,266,388,320,402,384,218,94,14,0,56,142,388,354,428,506,604,344,232,44,0,229.0,832232.0,63839731.92,106102000000.0
명일1동,10032,2608,2591,2362,2033,354,84,6.0,1.0,1.0,6848,82.0,17.327,28,0.6345,8,6.76,0.0,0.0,1.0,2470,7262,3.0,25458.0,1062,1275,1437,1885,1982,1899,1734,900,240,15,1,1017,1094,1348,1929,2163,2031,2055,938,363,87,3,56.0,229806.0,38006492.0,8627473684.0
명일2동,6497,1755,1318,1438,1567,336,83,2.0,0.0,4.0,4619,65.0,17.327,28,0.9136,2,0.44,0.0,0.0,2.0,1468,5403,2.0,17210.0,487,1309,1029,899,1305,1338,1181,663,144,18,1,483,1068,1134,975,1675,1321,1360,553,197,67,3,41.0,113657.0,100165360.5,22737536836.0
목1동,10337,1704,1929,2985,3066,514,139,2.0,0.0,2.0,8467,90.0,14.838,12,1.4321,2,1.66,0.0,0.0,2.0,3862,23811,4.0,60520.0,2418,5060,3010,2408,5844,5226,3122,1494,454,42,2,2438,5054,3080,3206,7032,4906,3354,1532,712,124,2,93.0,673078.0,39193022.22,8387306756.0
목2동,13375,5498,3145,2398,1847,368,119,1.0,2.0,3.0,6600,81.0,14.838,12,1.0206,3,25.68,0.0,0.0,1.0,1985,5297,0.0,58080.0,1424,2376,4196,5218,4198,4360,3912,1756,572,40,4,1298,2154,4492,5126,4460,5044,4342,1974,962,170,2,36.0,234216.0,11314216.69,1187992752.0
목3동,10073,4214,2510,1784,1250,218,97,5.0,0.0,2.0,4965,68.0,14.838,12,0.5315,3,0.51,0.0,0.0,0.0,1931,5170,1.0,42770.0,1154,1450,3026,3774,2968,3068,3020,1382,480,58,0,1048,1236,3182,3966,3134,3712,3472,1682,798,152,8,41.0,283297.0,56709147.86,9470427692.0
목4동,10012,3343,2056,2048,2043,415,107,3.0,0.0,1.0,5864,76.0,14.838,12,0.5771,4,0.66,0.0,0.0,1.0,1997,4562,1.0,49276.0,1008,3246,3990,2784,3566,4826,2780,1378,474,38,4,1080,2862,3572,2640,4462,4886,3050,1682,810,138,0,32.0,245857.0,14636881.28,1463688128.0
목5동,13428,1773,2546,3823,4407,707,172,2.0,0.0,9.0,11160,96.0,14.838,12,1.7651,9,3.96,0.0,0.0,4.0,2306,10260,3.0,80894.0,3040,7896,4084,3150,7414,7004,4518,2184,606,112,2,2748,6388,3948,3802,9388,6612,4848,2016,870,260,4,41.0,437958.0,53158536.42,22432902370.0
무악동,3015,701,744,705,675,153,37,0.0,0.0,1.0,2471,42.0,11.848,1,0.3693,2,1.87,1.0,1.0,1.0,761,1891,1.0,15968.0,492,810,772,804,1194,1428,1012,522,280,30,0,628,1072,880,888,1394,1408,1166,658,462,60,8,14.0,60335.0,83806315.11,2346576823.0
묵1동,14963,5632,3618,2828,2206,537,142,1.0,2.0,2.0,9298,92.0,15.673,17,1.2375,6,0.58,0.0,0.0,1.0,2326,6252,1.0,67744.0,1788,3046,4376,4488,5180,5282,4550,2532,1022,58,0,1818,2876,5206,4586,5340,5720,5298,2976,1398,198,6,46.0,256735.0,57590672.84,2821942969.0
묵2동,9227,4293,2351,1428,898,210,47,1.0,0.0,2.0,5049,69.0,15.673,17,0.6687,1,0.18,0.0,0.0,2.0,2393,4973,0.0,36666.0,852,1114,2402,2794,2716,3062,2818,1494,604,44,2,808,1014,2586,2636,2604,3130,3260,1804,820,98,4,19.0,80101.0,4354022.194,269949376.0
문래동,13179,4062,3140,2905,2447,483,142,5.0,1.0,1.0,9536,93.0,100.64,60,1.7854,5,1.64,2.0,1.0,3.0,7922,49600,7.0,64318.0,3050,3072,3354,5266,6030,4450,3208,1988,836,76,6,2866,2898,3672,5908,5948,4448,3688,2228,1150,172,4,90.0,432872.0,32942916.65,11266477494.0
문정1동,8493,3080,2023,1645,1356,295,94,1.0,0.0,1.0,4754,66.0,17.603,30,0.612,4,4.69,0.0,0.0,1.0,1988,6841,1.0,39256.0,1138,1464,2812,3376,2830,2904,3028,1390,390,40,0,1062,1350,2908,3230,2726,3350,3310,1314,518,108,8,42.0,159953.0,12407160.92,2382174897.0
문정2동,15852,9151,2938,1841,1523,300,99,8.0,2.0,0.0,5850,76.0,35.205,44,2.2403,10,5.88,0.0,0.0,1.0,13813,93614,6.0,57560.0,1456,1436,3632,6540,4286,3358,2984,1882,702,96,4,1466,1484,5780,8122,4598,3568,3426,1772,784,180,4,268.0,336277.0,19969887.68,18651875092.0
미성동,14331,6363,3390,2403,1641,422,112,5.0,0.0,1.0,8362,89.0,14.245,8,1.3584,8,6.97,0.0,0.0,2.0,2218,6187,1.0,59820.0,1396,2084,4356,4448,4308,4660,4452,2564,960,54,2,1318,2058,4720,3872,4082,4960,5116,2954,1280,166,10,35.0,456104.0,27582893.36,3061701163.0
미아동,11702,6560,2531,1473,854,217,67,2.0,0.0,0.0,5787,75.0,13.848,5,0.8406,5,0.59,0.0,0.0,0.0,2337,6971,1.0,42082.0,626,1262,3076,2918,2758,3464,3376,1784,820,56,0,572,1148,4118,2492,2644,3602,3672,2292,1260,138,4,48.0,319346.0,24948675.77,5164375884.0
반포1동,14761,6188,2413,2627,2792,560,181,5.0,0.0,1.0,8128,88.0,17.205,27,0.9916,5,0.66,0.0,0.0,2.0,2593,13146,1.0,68268.0,3034,4152,3758,4916,6880,5164,3010,1722,638,42,0,2958,4010,4294,5536,7244,4436,3508,2012,792,154,8,45.0,322308.0,27012050.21,3565590628.0
반포2동,6065,800,1208,1599,1875,458,125,1.0,0.0,2.0,5166,70.0,17.205,27,1.395,2,2.17,0.0,0.0,2.0,539,2333,1.0,31264.0,1558,2826,1262,928,2944,2672,1368,844,378,28,0,1404,2920,1404,1458,3824,2298,1502,1146,422,74,4,11.0,213871.0,51841737.92,22523507070.0
반포3동,8223,1311,1790,2244,2315,430,133,1.0,1.0,1.0,5995,77.0,12.345,1,1.2508,5,0.92,0.0,0.0,1.0,1392,7458,0.0,47572.0,1978,3378,2546,2192,4010,4350,2216,1360,580,54,0,1764,3298,2608,2726,5142,4120,2626,1672,796,154,2,33.0,314473.0,51841737.92,22523507070.0
반포4동,7058,1817,1566,1750,1453,346,126,2.0,0.0,0.0,5510,72.0,17.205,27,1.4261,3,0.59,0.0,0.0,0.0,4459,30539,7.0,37482.0,1534,2218,2024,2060,3048,2896,2068,1230,452,58,2,1392,2128,2152,2622,3768,3196,2482,1462,556,132,2,105.0,610668.0,83326853.67,39246948079.0
반포본동,126,67,22,19,16,1,1,1.0,0.0,1.0,3089,50.0,17.205,27,0.9718,4,1.18,0.0,0.0,1.0,374,1286,0.0,532.0,10,34,24,18,46,60,34,22,6,0,0,18,44,38,16,64,40,26,22,10,0,0,4.0,69837.0,32218578.3,741027301.0
발산1동,13567,3266,3354,3037,3074,694,142,13.0,1.0,4.0,10398,95.0,47.523,48,2.8744,8,13.24,0.0,0.0,3.0,6786,32771,3.0,71712.0,2486,4834,4226,3602,6102,5786,3866,2074,764,52,2,2420,4980,4432,3992,7004,6212,4820,2636,1164,250,8,143.0,359568.0,68205488.33,8184658599.0
방배1동,7495,3000,1787,1286,1088,235,99,0.0,0.0,0.0,4249,61.0,17.205,28,0.6887,1,0.17,0.0,0.0,1.0,2468,17090,3.0,33286.0,1018,1368,2094,2452,2522,2290,1924,1226,562,60,2,924,1300,2340,2966,3010,2652,2332,1536,612,96,0,56.0,232892.0,37195131.8,12125612966.0
방배2동,7894,2880,2005,1456,1178,276,99,2.0,2.0,0.0,5210,70.0,17.205,27,1.9026,6,32.77,0.0,0.0,1.0,2784,17750,5.0,36394.0,1040,1442,2364,2470,2594,2588,2380,1492,576,52,4,974,1520,2338,2952,2984,3064,2992,1748,674,136,10,54.0,316242.0,41153771.92,17119969117.0
방배3동,6293,1379,1568,1587,1339,293,127,1.0,0.0,3.0,5472,72.0,17.205,27,2.3734,7,9.94,0.0,0.0,1.0,1983,13217,1.0,34030.0,1118,1748,1980,1902,2432,2684,2410,1430,568,54,2,1140,1692,1932,2194,2884,2944,2658,1512,618,122,6,31.0,288162.0,7187552.967,215626589.0
방배4동,9581,3417,2065,1806,1753,412,128,4.0,1.0,2.0,6042,77.0,17.205,27,0.9488,2,0.72,0.0,0.0,1.0,3223,14236,2.0,45738.0,1278,2438,2492,2804,3626,3592,2366,1418,750,48,2,1366,2842,3248,3390,4630,3906,2708,1838,828,162,6,59.0,302736.0,53075379.82,15975689327.0
방배본동,7934,2371,1631,1669,1710,398,155,1.0,0.0,1.0,5398,72.0,17.205,28,0.677,1,0.15,0.0,0.0,1.0,2459,10660,2.0,40970.0,1216,2572,2230,1972,3244,3480,2238,1254,574,90,0,1208,2992,2668,2536,4144,3566,2522,1524,818,114,8,50.0,158447.0,89433025.77,21195627107.0
방이1동,6115,1904,1356,1318,1207,242,88,0.0,1.0,2.0,3808,57.0,17.327,28,0.6088,4,5.72,0.0,0.0,2.0,1963,8979,4.0,30512.0,914,1498,2164,2142,2246,2390,2020,994,328,42,0,918,1490,2136,2124,2550,2806,2204,992,442,102,10,56.0,103845.0,43584814.24,12116578358.0
방이2동,15641,9858,2826,1621,1028,231,77,12.0,0.0,1.0,4960,68.0,17.327,28,0.7692,6,1.91,0.0,0.0,0.0,5121,21736,3.0,51870.0,1066,1170,3950,5860,3638,3082,2842,1512,540,44,0,898,1002,6192,6752,3668,3676,3512,1700,660,100,6,82.0,228673.0,37381989.72,15289233795.0
방학1동,12915,5347,3159,2212,1668,412,117,11.0,2.0,3.0,7931,87.0,15.646,16,1.0401,9,2.03,3.0,2.0,1.0,2996,13758,2.0,55836.0,1264,2088,3552,3266,3866,5152,4734,2572,1062,68,4,1240,2014,3568,3000,3810,5138,4980,2882,1368,196,12,57.0,320723.0,15944268.42,2264086116.0
방학2동,9191,4018,2451,1505,909,240,68,6.0,0.0,0.0,5565,73.0,15.646,16,1.092,5,0.39,0.0,0.0,1.0,1576,3226,0.0,37662.0,732,1330,2440,2226,2560,3672,3386,1784,856,70,4,662,1220,2046,1766,2316,3524,3622,2074,1196,174,2,15.0,154604.0,19919967.21,2250956295.0
방학3동,9939,2148,2734,2449,2001,473,134,0.0,0.0,4.0,8162,88.0,15.646,16,1.9496,4,0.68,2.0,1.0,3.0,1476,3861,0.0,52588.0,1658,2780,3078,2992,3610,4082,4366,2002,822,82,0,1396,2356,2672,2842,4012,4812,5066,2232,1416,300,12,16.0,188252.0,55756249.33,669074992.0
방화1동,17286,5375,4153,3659,3127,793,179,8.0,0.0,5.0,12750,98.0,47.922,48,1.4745,13,3.02,0.0,0.0,3.0,3658,11304,2.0,85072.0,3264,4364,4510,5822,7294,6458,5678,3010,914,104,2,3322,4338,4746,6116,7352,6412,6432,3168,1488,264,14,85.0,164961.0,25614137.61,4072647880.0
방화2동,12124,6326,2807,1622,1033,261,75,1.0,0.0,4.0,6228,78.0,32.582,40,6.1531,7,0.19,0.0,0.0,1.0,3860,16238,1.0,45674.0,1098,1366,2998,4028,3206,3566,3586,1908,758,58,2,960,1240,3232,3550,2930,3318,4002,2342,1298,224,4,62.0,163009.0,6100682.932,268430049.0
방화3동,11242,5321,2821,1709,1084,222,85,0.0,1.0,3.0,6809,82.0,16.291,19,2.5571,9,25.31,0.0,0.0,3.0,1287,4689,1.0,44394.0,1096,1434,2064,3562,3276,3220,3690,2174,798,84,2,1084,1340,2004,3320,3208,3364,4270,2600,1478,320,6,26.0,59112.0,112149417.0,6504666187.0
번1동,10373,6119,2194,1165,711,141,43,4.0,0.0,2.0,4684,66.0,13.848,5,0.6266,3,0.46,0.0,0.0,1.0,2486,10192,1.0,35806.0,564,896,2820,2794,2856,3100,2646,1496,718,32,0,502,928,3140,2390,2338,2842,2808,1938,884,110,4,47.0,588157.0,34541410.76,3676193002.0
번2동,7452,3186,2156,1238,659,164,49,0.0,0.0,1.0,4927,68.0,13.848,5,0.9736,3,139.62,0.0,0.0,0.0,912,3732,0.0,30212.0,488,966,1964,1708,2080,2560,2554,1486,674,40,2,472,818,1890,1490,1942,2578,2886,2354,1118,136,6,17.0,205044.0,34541410.76,3676193002.0
번3동,7665,2891,2288,1312,897,228,49,1.0,0.0,1.0,5976,77.0,13.848,5,1.0804,3,62.04,0.0,0.0,2.0,1126,3302,1.0,32894.0,700,1118,1790,1648,2200,2706,2472,1712,924,44,6,714,1112,1708,1570,2202,2744,2902,3096,1334,188,4,12.0,243921.0,34541410.76,3676193002.0
보광동,6863,3760,1606,863,507,102,25,3.0,0.0,1.0,3367,52.0,18.927,34,0.7146,0,0.0,0.0,0.0,0.0,1155,2365,0.0,24976.0,336,724,2050,2264,1746,2178,1846,864,444,44,0,286,508,1576,1726,1630,2290,2296,1296,746,120,6,17.0,171997.0,14062508.89,787500498.0
보라매동,13052,7162,2799,1660,1103,244,84,6.0,1.0,1.0,6152,78.0,17.205,27,0.7497,4,0.15,0.0,0.0,1.0,2025,6990,0.0,48286.0,976,1360,4560,4518,3246,3334,3102,1920,768,58,0,936,1304,4908,3604,2988,3408,3690,2300,1124,178,4,38.0,248416.0,22081815.66,3223945086.0
보문동,8167,3970,1775,1248,929,195,50,1.0,0.0,4.0,3967,58.0,99.025,59,0.5526,3,2.08,0.0,0.0,2.0,1787,6720,1.0,32580.0,1036,936,2482,2830,2384,2586,1944,958,408,40,0,964,1078,2902,2766,2300,2734,2164,1304,662,98,4,30.0,192069.0,31263383.02,1375588853.0
부암동,4141,1667,984,763,529,145,53,0.0,0.0,2.0,2638,44.0,36.67,44,2.273,0,0.0,0.0,0.0,2.0,894,3762,1.0,18224.0,376,924,1158,1138,1218,1530,1218,684,354,30,0,410,762,1094,1182,1538,1772,1440,796,480,112,8,45.0,228198.0,28795405.55,2505200283.0
북가좌1동,6813,1703,1726,1620,1365,303,96,0.0,1.0,1.0,5230,71.0,13.844,4,0.5775,2,3.84,0.0,0.0,1.0,1490,3745,0.0,35328.0,1256,1974,1848,1964,2894,2960,2248,1166,568,42,0,1108,1836,1972,2260,3184,3068,2444,1590,832,108,6,13.0,176736.0,35998893.77,7808760039.0
북가좌2동,14607,6086,3748,2526,1761,390,96,1.0,4.0,2.0,8603,90.0,13.844,4,0.8243,5,0.74,0.0,0.0,0.0,2743,6468,1.0,61658.0,1286,2258,4346,4334,4392,5008,4624,2508,1150,80,0,1154,2096,4320,3852,4468,5406,5136,3248,1734,250,8,50.0,300073.0,37911938.82,4284049087.0
북아현동,7080,2793,1648,1429,988,180,42,2.0,0.0,1.0,4086,59.0,11.848,1,0.4586,6,4.69,0.0,0.0,1.0,1154,2656,1.0,31168.0,1358,1034,1774,2604,2596,2496,1846,832,378,30,2,1288,1004,2160,2928,2442,2598,1930,1102,664,102,0,14.0,226394.0,18580071.54,650302504.0
불광1동,17713,7224,4579,3223,2092,459,136,3.0,0.0,4.0,10702,95.0,13.483,2,3.1226,12,4.77,0.0,0.0,2.0,2408,7000,3.0,75470.0,1974,2536,4546,5126,5276,5996,5486,2870,1462,148,2,1866,2304,5076,5334,5538,6894,6464,4010,2274,282,6,53.0,412563.0,17667934.24,1466438542.0
불광2동,14104,7051,3407,2100,1161,299,86,3.0,0.0,3.0,7567,86.0,13.483,3,1.3951,7,10.87,4.0,2.0,3.0,1924,4933,0.0,53990.0,824,1592,3780,3940,3558,4462,4238,2406,1126,62,0,862,1418,4064,3734,3330,4836,4852,3064,1622,212,8,21.0,356170.0,39115823.36,5750026034.0
사근동,8250,6208,980,540,415,88,19,2.0,0.0,2.0,2039,36.0,28.293,37,1.1683,2,0.45,0.0,0.0,2.0,1310,10537,4.0,24092.0,362,788,5472,1816,1098,1220,962,570,334,16,0,326,898,4272,1376,1002,1306,1000,786,450,38,0,54.0,158633.0,38037808.44,5211179756.0
사당1동,13794,8813,2583,1377,803,172,46,5.0,0.0,1.0,4760,66.0,17.205,28,0.6347,2,0.35,0.0,0.0,1.0,2463,10779,2.0,45040.0,614,912,4566,5008,2984,2646,2606,1628,646,32,0,608,756,5600,4534,2728,2980,3330,2042,704,110,6,55.0,343003.0,31328619.98,7988798095.0
사당2동,12565,4604,3238,2466,1741,397,119,9.0,1.0,2.0,7323,85.0,34.41,43,2.7611,3,75.46,0.0,0.0,1.0,2159,6817,1.0,56638.0,1846,2030,3362,4318,4174,4282,3724,2270,1034,88,2,1714,1592,3682,4616,4258,4640,4584,2952,1250,214,6,52.0,393362.0,45088138.44,18531224899.0
사당3동,10490,3857,2549,2081,1571,318,114,1.0,0.0,2.0,6958,83.0,17.205,27,0.907,5,126.57,0.0,0.0,2.0,1470,4960,2.0,47882.0,1798,1658,2852,3476,3774,3394,3302,1990,820,56,4,1764,1570,3216,3836,3658,3578,3726,2370,920,118,2,26.0,171628.0,37709419.01,6906210739.0
사당4동,7284,3714,1656,1038,696,134,46,5.0,1.0,0.0,3567,54.0,17.205,27,0.4358,5,0.73,0.0,0.0,0.0,963,2159,0.0,27744.0,594,702,2122,2452,2030,1894,1838,1110,478,40,0,556,612,2632,2286,1880,2084,2262,1458,602,104,8,18.0,62588.0,53899258.96,5551623673.0
사당5동,6716,2830,1617,1223,841,166,39,0.0,0.0,3.0,3679,55.0,17.205,27,0.6817,4,0.37,0.0,0.0,2.0,910,2034,0.0,28488.0,872,950,1916,2478,2246,2020,1744,948,388,32,2,870,876,2230,2578,2150,2208,2054,1264,550,106,6,16.0,108792.0,2820985.158,53598718.0
