adstrd_cd,adstrd_nm,frglty_psn_co,frglty_psn_pctl,fnds_ix,fnds_pctl,rnfl_ix,rnfl_pctl
1104071,왕십리도선동,6836,82,56.586,51,1.31,52
1104072,금호2.3가동,5907,76,24.689,36,0.667,39
1104073,옥수동,7055,84,12.345,1,0.333,9
1105053,화양동,2870,47,14.731,11,0.339,17
1105054,군자동,4337,62,14.731,10,0.339,17
1105055,중곡1동,3427,53,14.243,8,0.339,17
1105056,중곡2동,4917,68,14.243,8,0.339,17
1105057,중곡3동,3819,57,14.243,8,0.339,18
1105058,중곡4동,6946,83,14.243,8,0.339,18
1105059,능동,2330,40,14.731,11,0.339,18
1105060,구의1동,4398,63,14.731,11,0.339,18
1105061,구의2동,7003,83,14.731,10,0.339,18
1105062,구의3동,6640,81,14.731,10,0.339,18
1105063,광장동,9731,93,14.731,10,0.339,18
1105064,자양1동,5019,69,14.731,10,0.339,18
1105065,자양2동,6363,79,14.731,10,0.339,18
1105066,자양3동,7523,86,14.731,11,0.339,18
1105067,자양4동,5135,70,14.731,11,0.339,18
1106071,회기동,2185,38,14.146,7,0.327,8
1106072,휘경1동,3086,49,14.243,7,0.339,18
1106073,휘경2동,6022,77,14.243,7,0.339,18
1106080,청량리동,6249,78,14.146,7,0.327,7
1106081,용신동,7434,85,28.293,37,0.655,38
1106082,제기동,7004,83,14.146,7,0.327,7
1106083,전농1동,7737,87,14.146,7,0.327,8
1106084,전농2동,5471,72,14.146,7,0.327,8
1106086,답십리2동,7878,87,14.146,7,0.327,8
1106087,장안1동,9731,93,14.243,7,0.339,18
1106088,장안2동,9637,93,14.243,8,0.339,18
1106089,이문1동,4244,61,15.673,17,0.339,18
1106090,이문2동,5809,75,15.673,17,0.339,18
1106091,답십리1동,7496,86,14.146,7,0.327,8
1107052,면목2동,6279,79,14.243,8,0.339,18
1107054,면목4동,5061,69,14.243,7,0.339,18
1107055,면목5동,3680,55,14.243,8,0.339,18
1107057,면목7동,5707,74,14.243,7,0.339,18
1107059,상봉1동,6209,78,15.673,17,0.339,18
1107060,상봉2동,3999,58,15.673,17,0.339,18
1107061,중화1동,5219,70,15.673,17,0.339,18
1107062,중화2동,6264,78,15.673,17,0.339,18
1107064,묵1동,9298,92,15.673,17,0.339,18
1107065,묵2동,5049,69,15.673,17,0.339,18
1107068,망우3동,4492,64,15.673,17,0.339,18
1107069,신내1동,11798,97,15.673,17,0.339,18
1107070,신내2동,6010,77,15.673,16,0.339,18
1107071,면목본동,8223,89,14.243,7,0.339,18
1107072,면목3.8동,6366,79,14.243,7,0.339,18
1107073,망우본동,7963,87,15.673,17,0.339,18
1108058,돈암1동,4006,59,13.848,5,0.335,10
1108059,돈암2동,6614,81,13.848,5,0.335,10
1108060,안암동,2779,46,70.732,54,1.637,55
1108061,보문동,3967,58,99.025,59,2.292,61
1108062,정릉1동,5245,71,12.411,2,0.324,7
1108063,정릉2동,6561,81,26.259,37,0.659,38
1108064,정릉3동,4091,59,12.411,2,0.324,7
1108065,정릉4동,7080,84,12.411,2,0.324,7
1108066,길음1동,10809,96,13.848,5,0.335,10
1108068,길음2동,4595,65,27.697,37,0.671,39
1108071,월곡1동,7801,87,13.848,5,0.335,10
1108072,월곡2동,5314,71,27.697,37,0.671,39
1108076,장위1동,4950,68,13.848,5,0.335,10
1108077,장위2동,4051,59,13.848,5,0.335,10
1108078,장위3동,4707,66,13.848,5,0.335,10
1108081,성북동,4140,60,54.85,51,1.306,52
1108082,삼선동,5638,74,113.172,61,2.62,64
1108083,동선동,2976,48,112.874,61,2.628,64
1108084,종암동,10781,96,13.848,5,0.335,10
1108085,석관동,9603,93,15.673,17,0.339,19
1109060,번1동,4684,66,13.848,5,0.335,10
1109061,번2동,4927,68,13.848,5,0.335,10
1109062,번3동,5976,77,13.848,5,0.335,10
1109063,수유1동,5731,74,13.848,5,0.335,10
1109064,수유2동,6143,78,13.848,5,0.335,10
1109065,수유3동,5598,73,13.848,5,0.335,10
1109069,삼양동,6579,81,13.848,5,0.335,10
1109070,미아동,5787,75,13.848,5,0.335,10
1109071,송중동,8125,88,13.848,5,0.335,10
1109072,송천동,7700,86,13.848,5,0.335,10
