,행정동명,시군구명,거주인구대비취약자수,거주인구대비취약자백분위수,미세먼지지수,미세먼지백분위,행정구역면적,공원수,공원율
394,가락본동,송파구,6083,77.0,16.56,23,1.014,9,5.84
395,가락1동,송파구,7161,84.0,16.56,23,1.3921,2,1.49
396,가락2동,송파구,8065,88.0,16.56,23,0.9316,9,66.31
397,문정1동,송파구,4754,66.0,17.603,30,0.612,4,4.69
398,문정2동,송파구,5850,76.0,35.205,44,2.2403,10,5.88
399,잠실본동,송파구,5652,74.0,16.56,23,1.0282,6,1.41
400,잠실4동,송파구,6554,81.0,14.731,10,0.0,0,0.0
401,잠실6동,송파구,4892,67.0,14.731,10,1.5068,4,20.39
402,잠실7동,송파구,2914,48.0,16.56,23,0.7229,1,9.13
403,잠실2동,송파구,10414,95.0,16.56,23,2.6848,2,0.92
404,잠실3동,송파구,10223,95.0,16.56,23,1.5414,4,2.19
405,장지동,송파구,7662,86.0,35.205,44,1.2774,12,7.17
406,위례동,송파구,8773,91.0,35.205,44,2.4876,5,9.73
407,강일동,강동구,9803,94.0,32.123,40,3.6447,8,5.71
408,명일1동,강동구,6848,82.0,17.327,28,0.6345,8,6.76
409,명일2동,강동구,4619,65.0,17.327,28,0.9136,2,0.44
410,고덕1동,강동구,7794,87.0,14.797,11,1.5173,5,2.82
411,고덕2동,강동구,6147,78.0,14.797,11,2.205,7,12.12
412,암사2동,강동구,4085,59.0,14.797,11,2.1726,2,0.12
413,암사3동,강동구,5332,71.0,14.797,11,1.798,4,0.63
414,천호1동,강동구,6986,83.0,17.327,28,0.6685,5,0.64
415,천호3동,강동구,6286,79.0,17.327,28,0.5614,2,0.46
416,성내1동,강동구,5141,70.0,17.327,28,0.6632,3,1.91
417,성내2동,강동구,5714,74.0,17.327,28,0.6247,1,0.37
418,성내3동,강동구,5534,73.0,17.327,28,0.6469,3,0.56
419,둔촌1동,강동구,14,1.0,17.327,28,0.9115,0,0.0
420,둔촌2동,강동구,7035,84.0,17.327,28,1.5492,3,42.63
421,암사1동,강동구,9094,92.0,14.797,11,0.7349,4,1.21
422,천호2동,강동구,8981,91.0,17.327,28,1.8494,7,1.89
423,길동,강동구,11189,96.0,17.327,28,1.6303,5,5.2
424,상일1동,강동구,9347,92.0,17.327,28,1.8122,9,73.05
425,상일2동,강동구,9347,92.0,17.327,28,1.8122,9,73.05
