,행정동코드8,시도명,시군구명,행정동명
393,11710610,서울특별시,송파구,삼전동
394,11710620,서울특별시,송파구,가락본동
395,11710631,서울특별시,송파구,가락1동
396,11710632,서울특별시,송파구,가락2동
397,11710641,서울특별시,송파구,문정1동
398,11710642,서울특별시,송파구,문정2동
399,11710646,서울특별시,송파구,장지동
400,11710647,서울특별시,송파구,위례동
401,11710650,서울특별시,송파구,잠실본동
402,11710670,서울특별시,송파구,잠실2동
403,11710680,서울특별시,송파구,잠실3동
404,11710690,서울특별시,송파구,잠실4동
405,11710710,서울특별시,송파구,잠실6동
406,11710720,서울특별시,송파구,잠실7동
407,11740515,서울특별시,강동구,강일동
408,11740525,서울특별시,강동구,상일1동
409,11740526,서울특별시,강동구,상일2동
410,11740530,서울특별시,강동구,명일1동
411,11740540,서울특별시,강동구,명일2동
412,11740550,서울특별시,강동구,고덕1동
413,11740560,서울특별시,강동구,고덕2동
414,11740570,서울특별시,강동구,암사1동
415,11740580,서울특별시,강동구,암사2동
416,11740590,서울특별시,강동구,암사3동
417,11740600,서울특별시,강동구,천호1동
418,11740610,서울특별시,강동구,천호2동
419,11740620,서울특별시,강동구,천호3동
420,11740640,서울특별시,강동구,성내1동
421,11740650,서울특별시,강동구,성내2동
422,11740660,서울특별시,강동구,성내3동
423,11740685,서울특별시,강동구,길동
424,11740690,서울특별시,강동구,둔촌1동
425,11740700,서울특별시,강동구,둔촌2동
