"adzn_id","adzn_nm","adzn_area","park_cnt","park_rt"
"1174057000","암사제1동",0.7349,4,1.21
"1174058000","암사제2동",2.1726,2,0.12
"1174059000","암사제3동",1.798,4,0.63
"1174060000","천호제1동",0.6685,5,0.64
"1174061000","천호제2동",1.8494,7,1.89
"1174062000","천호제3동",0.5614,2,0.46
"1174064000","성내제1동",0.6632,3,1.91
"1174065000","성내제2동",0.6247,1,0.37
"1174066000","성내제3동",0.6469,3,0.56
"1174068500","길동",1.6303,5,5.2
"1174069000","둔촌제1동",0.9115,0,0
"1174070000","둔촌제2동",1.5492,3,42.63
