학교명,주소,행정동,위도,경도
서울돈암초등학교,서울특별시 성북구 동소문로13길 38,동선동,37.5967632,127.0123705
서울길음초등학교,서울특별시 성북구 길음로 142,길음1동,37.6041932,127.0240219
서울길원초등학교,서울특별시 성북구 길음로15길 55,길음1동,37.6103416,127.0170487
서울개운초등학교,서울특별시 성북구 정릉로48길 52,돈암1동,37.6025239,127.0275895
서울자곡초등학교,서울특별시 강남구 자곡로 150,세곡동,37.4652137,127.0952705
서울율현초등학교,서울특별시 강남구 밤고개로21길 15,세곡동,37.47456655,127.1083009
서울우솔초등학교,서울특별시 서초구 양재대로2길 74,양재1동,37.4569859,127.019385
서울세명초등학교,서울특별시 강남구 자곡로 55,세곡동,37.4652137,127.0952705
서울우면초등학교,서울특별시 서초구 태봉로 59,양재1동,37.4603907,127.0197806
서울학동초등학교,서울특별시 강남구 선릉로115길 42,논현2동,37.5118806,127.0412296
서울포이초등학교,서울특별시 강남구 개포로22길 87,개포4동,37.4756705,127.0524703
서울청담초등학교,서울특별시 강남구 압구정로71길 9,청담동,37.5284091,127.0470335
서울잠원초등학교,서울특별시 서초구 신반포로16길 15-25,반포2동,37.5019524,126.9957032
서울일원초등학교,서울특별시 강남구 영동대로4길 20,개포2동,37.48944245,127.0764023
서울이수초등학교,서울특별시 서초구 방배천로4길 23,방배2동,37.4779495,126.9834948
서울원촌초등학교,서울특별시 서초구 사평대로45길 26,반포1동,37.5053653,127.0124929
서울원명초등학교,서울특별시 서초구 고무래로 90-6,서초4동,37.5005774,127.0183812
서울우암초등학교,서울특별시 서초구 바우뫼로7길 38,양재1동,37.4712518,127.0246111
서울왕북초등학교,서울특별시 강남구 광평로31길 74,일원본동,37.485454,127.089687
서울영희초등학교,서울특별시 강남구 일원로 21,일원1동,37.4919919,127.0812822
서울역삼초등학교,서울특별시 강남구 강남대로66길 21,역삼1동,37.4918579,127.0316693
서울언주초등학교,서울특별시 강남구 남부순환로363길 19,도곡1동,37.4857167,127.0378493
서울언북초등학교,서울특별시 강남구 삼성로135길 42,청담동,37.5200231,127.0456727
서울언남초등학교,서울특별시 서초구 헌릉로8길 42,내곡동,37.4559295,127.0585038
서울양전초등학교,서울특별시 강남구 개포로 513,개포2동,37.4903771,127.0700308
서울양재초등학교,서울특별시 서초구 바우뫼로18길 14,양재1동,37.4738361,127.0319606
서울압구정초등학교,서울특별시 강남구 압구정로39길 29,압구정동,37.53172705,127.0309643
서울신중초등학교,서울특별시 서초구 남부순환로317길 15,서초3동,37.4804179,127.0105683
서울신동초등학교,서울특별시 서초구 나루터로 15,잠원동,37.5147005,127.0105924
서울신구초등학교,서울특별시 강남구 압구정로18길 28,신사동,37.5236292,127.0249963
서울수서초등학교,서울특별시 강남구 광평로51길 46,수서동,37.4884642,127.1035054
서울서초초등학교,서울특별시 서초구 서운로 178,서초4동,37.49924875,127.0240943
서울서일초등학교,서울특별시 서초구 남부순환로339길 38,서초1동,37.4848804,127.0219038
서울서이초등학교,서울특별시 서초구 서운로 35,서초2동,37.4911638,127.0259873
서울서원초등학교,서울특별시 서초구 고무래로 63,반포1동,37.5005774,127.0183812
서울서래초등학교,서울특별시 서초구 방배로 260,방배본동,37.4751703,127.0017707
서울삼릉초등학교,서울특별시 강남구 봉은사로63길 22,삼성2동,37.5133358,127.0464764
