호선,역명,승하차인원,도로명주소,행정동,위도,경도
4호선,이촌,20717.32258,서울특별시 용산구 서빙고로 지하83,한강로동,37.52252025,126.9736832
4호선,창동,47287.45161,서울특별시 도봉구 마들로11길 77,창5동,37.65320848,127.0476838
4호선,총신대입구,35504.19355,서울특별시 동작구 동작대로 지하117,사당2동,37.48755383,126.9821997
4호선,충무로,51638.0,서울특별시 중구 퇴계로 지하214,필동,37.5612891,126.9942074
4호선,한성대입구,24099.74194,서울특별시 성북구 삼선교로 지하1,삼선동,37.58839488,127.0059503
4호선,혜화,67762.45161,서울특별시 종로구 대학로 지하120,이화동,37.58180362,127.0019784
4호선,회현,47031.80645,서울특별시 중구 퇴계로 지하54,회현동,37.55853532,126.9782391
5호선,강동,32499.19355,서울특별시 강동구 천호대로 지하1097,성내2동,37.53552051,127.1335296
5호선,강일,9518.967742,서울특별시 강동구 고덕로 지하456,상일2동,37.5575266,127.175938
5호선,개롱,11949.22581,서울특별시 송파구 오금로 지하402,가락2동,37.49781466,127.1351586
5호선,개화산,10380.32258,서울특별시 강서구 양천로 22,방화2동,37.57227002,126.8060017
5호선,거여,17795.87097,서울특별시 송파구 오금로 지하499,거여1동,37.49320733,127.1440323
5호선,고덕,17940.93548,서울특별시 강동구 고덕로 지하253,고덕1동,37.55504732,127.1539494
5호선,공덕,25644.06452,서울특별시 마포구 마포대로 지하100,아현동,37.54452679,126.9513638
5호선,광나루,23727.6129,서울특별시 광진구 아차산로 지하571,광장동,37.54527866,127.1036865
5호선,광화문,60206.83871,서울특별시 종로구 세종대로 지하172,사직동,37.57162282,126.976788
5호선,군자,21986.80645,서울특별시 광진구 천호대로 지하550,중곡1동,37.55736319,127.0790173
5호선,굽은다리,17601.93548,서울특별시 강동구 양재대로 지하1572,명일1동,37.54573147,127.1429708
5호선,길동,15244.74194,서울특별시 강동구 양재대로 지하1480,길동,37.53781156,127.1399992
5호선,까치산,50557.25806,서울특별시 강서구 강서로 지하54,화곡8동,37.53195608,126.8466116
5호선,답십리,27016.22581,서울특별시 성동구 천호대로 지하300,용답동,37.56644583,127.053181
5호선,동대문역사문화공원,6125.645161,서울특별시 중구 마른내로 지하162,광희동,37.56457701,127.0059162
5호선,둔촌동,15973.32258,서울특별시 강동구 양재대로 지하1369,성내3동,37.52764137,127.1361903
5호선,마곡,20383.32258,서울특별시 강서구 공항대로 지하163,공항동,37.56019845,126.825548
5호선,마장,10029.25806,서울특별시 성동구 마장로 지하296,마장동,37.56628278,127.0431634
5호선,마천,12862.45161,서울특별시 송파구 마천로57길 지하7,마천1동,37.49467062,127.1523206
5호선,마포,26225.77419,서울특별시 마포구 마포대로 지하33,용강동,37.53958379,126.9459204
5호선,명일,16202.06452,서울특별시 강동구 양재대로 지하1632,명일1동,37.55126028,127.1440009
5호선,목동,30704.12903,서울특별시 양천구 오목로 지하245,목1동,37.52619868,126.8647426
5호선,발산,39920.83871,서울특별시 강서구 공항대로 지하267,가양1동,37.55902927,126.8373108
5호선,방이,13554.32258,서울특별시 송파구 양재대로 지하1127,방이1동,37.50855645,127.1258547
5호선,방화,12476.64516,서울특별시 강서구 금낭화로 지하132,방화3동,37.57700311,126.8126299
5호선,상일동,25152.87097,서울특별시 강동구 고덕로 지하359,상일1동,37.55666438,127.1658292
5호선,서대문,34086.77419,서울특별시 종로구 통일로 지하126,충현동,37.56585627,126.9666374
5호선,송정,11423.32258,서울특별시 강서구 공항대로 지하33,공항동,37.56147755,126.8110554
5호선,신금호,11721.6129,서울특별시 성동구 금호로 지하154,금호2.3가동,37.55453249,127.0200641
5호선,신길,8576.129032,서울특별시 영등포구 경인로114가길 지하9,영등포동,37.5176677,126.9143369
5호선,신정,22233.74194,서울특별시 양천구 오목로 지하179,신정4동,37.52521079,126.8572904
5호선,아차산,26002.25806,서울특별시 광진구 천호대로 지하657,능동,37.55240114,127.0893706
5호선,애오개,11917.45161,서울특별시 마포구 마포대로 지하210,아현동,37.5533624,126.9566133
5호선,여의나루,26126.83871,서울특별시 영등포구 여의동로 지하343,여의동,37.52708516,126.932864
5호선,여의도,53136.09677,서울특별시 영등포구 여의나루로 지하40,여의동,37.5218423,126.9244847
