`STD_YM`,`ADMI_CD`,`ADMI_NM`,`SEXDSTN_CD`,`AGRDE_CD`,`RSPOP_CNT`,`CTY_NM`
`202306`,`11290810`,`석관동`,`1`,`0004`,`818`,`성북구`
`202306`,`11200590`,`금호1가동`,`1`,`0004`,`566`,`성동구`
`202306`,`11740660`,`성내3동`,`1`,`0004`,`436`,`강동구`
`202306`,`11410565`,`충현동`,`1`,`0004`,`458`,`서대문구`
`202306`,`11620630`,`남현동`,`1`,`0004`,`338`,`관악구`
`202306`,`11620655`,`신원동`,`1`,`0004`,`176`,`관악구`
`202306`,`11260610`,`중화2동`,`1`,`0004`,`440`,`중랑구`
`202306`,`11170580`,`효창동`,`1`,`0004`,`358`,`용산구`
`202306`,`11440710`,`연남동`,`1`,`0004`,`222`,`마포구`
`202306`,`11650550`,`반포본동`,`1`,`0004`,`2`,`서초구`
`202306`,`11200645`,`옥수동`,`1`,`0004`,`1044`,`성동구`
`202306`,`11680656`,`도곡2동`,`1`,`0004`,`706`,`강남구`
